date,New_Cases,New_Recovered,New_Deaths,Province,Population
2020-03-25,0,0,0,Sumatera Selatan,8217551
2020-03-25,0,0,0,Sumatera Utara,14874889
2020-03-25,0,3,1,Banten,10722374
2020-03-26,0,0,0,Bali,4216171
2020-03-26,0,4,0,Banten,10722374
2020-03-26,0,0,0,Jambi,3493357
2020-03-26,0,0,0,Kalimantan Timur,3552191
2020-03-26,0,0,0,Kepulauan Riau,1929400
2020-03-26,0,0,0,Maluku,1847097
2020-03-26,0,0,0,Maluku Utara,1307803
2020-03-26,0,0,0,Riau,6074100
2020-03-26,0,0,0,Sulawesi Tenggara,2635461
2020-03-26,0,0,0,Sumatera Selatan,8217551
2020-03-26,0,0,0,Sumatera Utara,14874889
2020-03-26,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-27,0,0,0,Bali,4216171
2020-03-27,0,0,0,Jambi,3493357
2020-03-27,0,0,0,Kalimantan Timur,3552191
2020-03-27,0,0,0,Kepulauan Riau,1929400
2020-03-27,0,0,0,Kalimantan Tengah,2570289
2020-03-27,0,0,0,Maluku,1847097
2020-03-27,0,0,0,Maluku Utara,1307803
2020-03-27,0,0,0,Papua,4340348
2020-03-27,0,0,0,Riau,6074100
2020-03-27,0,0,0,Sulawesi Utara,2641884
2020-03-27,0,0,0,Sulawesi Tenggara,2635461
2020-03-27,0,0,0,Sumatera Selatan,8217551
2020-03-27,0,0,0,Sulawesi Tengah,2955567
2020-03-27,0,0,1,Sumatera Utara,14874889
2020-03-28,0,0,0,Bali,4216171
2020-03-28,0,0,0,Jambi,3493357
2020-03-28,0,0,0,Lampung,9095591
2020-03-28,0,0,0,Maluku,1847097
2020-03-28,0,0,0,Maluku Utara,1307803
2020-03-28,0,0,0,Papua,4340348
2020-03-28,0,0,0,Papua Barat,1140701
2020-03-28,0,0,0,Riau,6074100
2020-03-28,0,0,0,Sulawesi Utara,2641884
2020-03-28,0,0,0,Sumatera Barat,5519245
2020-03-28,0,0,0,Sulawesi Tenggara,2635461
2020-03-28,0,0,0,Sumatera Utara,14874889
2020-03-28,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-29,0,0,0,Aceh,5247257
2020-03-29,0,0,0,Jambi,3493357
2020-03-29,0,0,0,Kalimantan Timur,3552191
2020-03-29,0,0,0,Kepulauan Riau,1929400
2020-03-29,0,0,0,Kalimantan Tengah,2570289
2020-03-29,0,0,0,Kalimantan Utara,648407
2020-03-29,0,0,0,Lampung,9095591
2020-03-29,0,0,0,Maluku,1847097
2020-03-29,0,0,0,Maluku Utara,1307803
2020-03-29,0,0,0,Papua Barat,1140701
2020-03-29,0,0,0,Sulawesi Utara,2641884
2020-03-29,0,0,0,Sumatera Barat,5519245
2020-03-29,0,0,0,Sulawesi Tenggara,2635461
2020-03-29,0,0,0,Sulawesi Barat,1559984
2020-03-29,0,0,0,Sumatera Selatan,8217551
2020-03-29,0,0,0,Sulawesi Tengah,2955567
2020-03-29,0,0,0,Sumatera Utara,14874889
2020-03-29,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-03-30,0,0,0,Aceh,5247257
2020-03-30,0,0,0,Kalimantan Timur,3552191
2020-03-30,0,0,0,Kalimantan Tengah,2570289
2020-03-30,0,0,0,Kalimantan Utara,648407
2020-03-30,0,0,0,Maluku,1847097
2020-03-30,0,0,0,Maluku Utara,1307803
2020-03-30,0,0,0,Papua,4340348
2020-03-30,0,0,0,Papua Barat,1140701
2020-03-30,0,0,0,Sulawesi Utara,2641884
2020-03-30,0,0,0,Sulawesi Tenggara,2635461
2020-03-30,0,0,0,Sulawesi Barat,1559984
2020-03-30,0,0,0,Sumatera Selatan,8217551
2020-03-30,0,0,0,Sulawesi Tengah,2955567
2020-03-31,0,0,0,Aceh,5247257
2020-03-31,0,1,0,Bali,4216171
2020-03-31,0,0,0,Jambi,3493357
2020-03-31,0,0,0,Kalimantan Barat,5422814
2020-03-31,0,0,0,Kalimantan Utara,648407
2020-03-31,0,0,0,Maluku,1847097
2020-03-31,0,0,0,Maluku Utara,1307803
2020-03-31,0,0,0,Papua Barat,1140701
2020-03-31,0,0,0,Riau,6074100
2020-03-31,0,0,0,Sulawesi Utara,2641884
2020-03-31,0,0,0,Sumatera Barat,5519245
2020-03-31,0,0,0,Sulawesi Tenggara,2635461
2020-03-31,0,0,0,Sulawesi Barat,1559984
2020-03-31,0,0,0,Sulawesi Tengah,2955567
2020-03-31,0,0,1,Lampung,9095591
2020-03-31,0,0,1,Sulawesi Selatan,9426885
2020-04-01,0,0,0,Aceh,5247257
2020-04-01,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-01,0,0,0,Bengkulu,1999539
2020-04-01,0,0,0,Jambi,3493357
2020-04-01,0,0,0,Kepulauan Riau,1929400
2020-04-01,0,0,0,Kalimantan Selatan,4023049
2020-04-01,0,0,0,Kalimantan Tengah,2570289
2020-04-01,0,0,0,Kalimantan Utara,648407
2020-04-01,0,0,0,Lampung,9095591
2020-04-01,0,1,0,Maluku,1847097
2020-04-01,0,0,0,Maluku Utara,1307803
2020-04-01,0,1,0,Papua,4340348
2020-04-01,0,0,0,Papua Barat,1140701
2020-04-01,0,0,0,Sumatera Barat,5519245
2020-04-01,0,0,0,Sulawesi Tenggara,2635461
2020-04-01,0,0,0,Sulawesi Barat,1559984
2020-04-01,0,0,0,Sumatera Selatan,8217551
2020-04-01,0,0,0,Sulawesi Tengah,2955567
2020-04-01,0,0,1,Riau,6074100
2020-04-02,0,0,0,Aceh,5247257
2020-04-02,0,0,0,Bali,4216171
2020-04-02,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-02,0,0,0,Bengkulu,1999539
2020-04-02,0,0,0,Jambi,3493357
2020-04-02,0,0,0,Kalimantan Timur,3552191
2020-04-02,0,0,0,Kalimantan Selatan,4023049
2020-04-02,0,0,0,Kalimantan Tengah,2570289
2020-04-02,0,0,0,Kalimantan Utara,648407
2020-04-02,0,0,0,Lampung,9095591
2020-04-02,0,0,0,Maluku,1847097
2020-04-02,0,0,0,Maluku Utara,1307803
2020-04-02,0,0,0,Nusa Tenggara Barat,5270247
2020-04-02,0,1,0,Papua,4340348
2020-04-02,0,0,0,Papua Barat,1140701
2020-04-02,0,0,0,Sulawesi Utara,2641884
2020-04-02,0,0,0,Sumatera Barat,5519245
2020-04-02,0,0,0,Sulawesi Tenggara,2635461
2020-04-02,0,0,0,Sulawesi Barat,1559984
2020-04-02,0,0,0,Sumatera Utara,14874889
2020-04-02,0,0,1,Kalimantan Barat,5422814
2020-04-02,0,0,1,Sulawesi Tengah,2955567
2020-04-02,0,0,1,Daerah Istimewa Yogyakarta,3631015
2020-04-02,0,4,2,Sulawesi Selatan,9426885
2020-04-02,0,91,12,Jawa Timur,40479023
2020-04-03,0,0,0,Aceh,5247257
2020-04-03,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-03,0,0,0,Jambi,3493357
2020-04-03,0,0,0,Kalimantan Barat,5422814
2020-04-03,0,0,0,Kalimantan Selatan,4023049
2020-04-03,0,0,0,Maluku,1847097
2020-04-03,0,0,0,Maluku Utara,1307803
2020-04-03,0,0,0,Nusa Tenggara Barat,5270247
2020-04-03,0,0,0,Papua Barat,1140701
2020-04-03,0,0,0,Sulawesi Utara,2641884
2020-04-03,0,0,0,Sumatera Barat,5519245
2020-04-03,0,0,0,Sumatera Utara,14874889
2020-04-03,0,0,0,Daerah Istimewa Yogyakarta,3631015
2020-04-04,0,0,0,Aceh,5247257
2020-04-04,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-04,0,0,0,Bengkulu,1999539
2020-04-04,0,0,0,Jambi,3493357
2020-04-04,0,0,0,Kalimantan Barat,5422814
2020-04-04,0,0,0,Kepulauan Riau,1929400
2020-04-04,0,0,0,Kalimantan Selatan,4023049
2020-04-04,0,0,0,Kalimantan Utara,648407
2020-04-04,0,0,0,Lampung,9095591
2020-04-04,0,0,0,Maluku,1847097
2020-04-04,0,0,0,Maluku Utara,1307803
2020-04-04,0,0,0,Nusa Tenggara Barat,5270247
2020-04-04,0,0,0,Papua Barat,1140701
2020-04-04,0,1,0,Riau,6074100
2020-04-04,0,0,0,Sumatera Barat,5519245
2020-04-04,0,1,0,Sulawesi Tenggara,2635461
2020-04-04,0,0,0,Sulawesi Barat,1559984
2020-04-04,0,1,0,Sumatera Selatan,8217551
2020-04-04,0,0,0,Sulawesi Tengah,2955567
2020-04-04,0,0,1,Sulawesi Utara,2641884
2020-04-04,0,5,2,Sulawesi Selatan,9426885
2020-04-05,0,0,0,Aceh,5247257
2020-04-05,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-05,0,0,0,Bengkulu,1999539
2020-04-05,0,0,0,Jambi,3493357
2020-04-05,0,0,0,Kalimantan Barat,5422814
2020-04-05,0,0,0,Kalimantan Tengah,2570289
2020-04-05,0,0,0,Kalimantan Utara,648407
2020-04-05,0,0,0,Lampung,9095591
2020-04-05,0,0,0,Maluku,1847097
2020-04-05,0,0,0,Maluku Utara,1307803
2020-04-05,0,0,0,Nusa Tenggara Barat,5270247
2020-04-05,0,0,0,Papua Barat,1140701
2020-04-05,0,0,0,Sulawesi Utara,2641884
2020-04-05,0,0,0,Sumatera Barat,5519245
2020-04-05,0,0,0,Sulawesi Tenggara,2635461
2020-04-05,0,0,0,Sulawesi Barat,1559984
2020-04-05,0,0,0,Sumatera Utara,14874889
2020-04-06,0,0,0,Aceh,5247257
2020-04-06,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-06,0,0,0,Bengkulu,1999539
2020-04-06,0,0,0,Jambi,3493357
2020-04-06,0,0,0,Kalimantan Barat,5422814
2020-04-06,0,0,0,Kepulauan Riau,1929400
2020-04-06,0,0,0,Maluku,1847097
2020-04-06,0,0,0,Maluku Utara,1307803
2020-04-06,0,0,0,Papua Barat,1140701
2020-04-06,0,0,0,Sulawesi Barat,1559984
2020-04-06,0,0,0,Sumatera Selatan,8217551
2020-04-06,0,0,0,Sulawesi Tengah,2955567
2020-04-06,0,0,1,Papua,4340348
2020-04-07,0,0,0,Aceh,5247257
2020-04-07,0,0,0,Bali,4216171
2020-04-07,0,0,0,Kepulauan Bangka Belitung,1379767
2020-04-07,0,0,0,Bengkulu,1999539
